User_ID,Date,Type,Category,Amount,Risk_Label
0,2023-01-01,Credit,Salary,1852,good
0,2023-01-12,Debit,Discretionary,478,good
0,2023-01-31,Credit,Salary,1934,good
0,2023-02-12,Debit,UPI_Lending_App,138,good
0,2023-02-23,Debit,Discretionary,498,good
0,2023-03-02,Credit,Salary,1859,good
0,2023-03-20,Debit,Discretionary,511,good
0,2023-04-01,Credit,Salary,2173,good
0,2023-04-23,Debit,Discretionary,531,good
0,2023-05-01,Credit,Salary,1943,good
0,2023-05-12,Debit,Discretionary,544,good
0,2023-05-31,Credit,Salary,1904,good
0,2023-06-24,Debit,Discretionary,540,good
1,2023-01-01,Credit,Salary,1882,bad
1,2023-01-02,Debit,UPI_Lending_App,310,bad
1,2023-01-13,Debit,UPI_Lending_App,333,bad
1,2023-01-20,Debit,Discretionary,490,bad
1,2023-01-21,Debit,UPI_Lending_App,295,bad
1,2023-01-23,Debit,UPI_Lending_App,58,bad
1,2023-01-31,Credit,Salary,2043,bad
1,2023-02-05,Debit,UPI_Lending_App,424,bad
1,2023-02-11,Debit,UPI_Lending_App,104,bad
1,2023-02-18,Debit,UPI_Lending_App,282,bad
1,2023-02-22,Debit,UPI_Lending_App,370,bad
1,2023-02-23,Debit,Discretionary,458,bad
1,2023-02-27,Debit,UPI_Lending_App,220,bad
1,2023-03-02,Credit,Salary,1861,bad
1,2023-03-10,Debit,UPI_Lending_App,279,bad
1,2023-03-11,Debit,Discretionary,537,bad
1,2023-03-24,Debit,UPI_Lending_App,161,bad
1,2023-03-27,Debit,UPI_Lending_App,352,bad
1,2023-03-28,Debit,UPI_Lending_App,251,bad
1,2023-04-01,Credit,Salary,1944,bad
1,2023-04-17,Debit,Discretionary,543,bad
1,2023-04-24,Debit,UPI_Lending_App,312,bad
1,2023-04-29,Debit,UPI_Lending_App,69,bad
1,2023-05-04,Credit,Salary,1826,bad
1,2023-05-07,Debit,UPI_Lending_App,52,bad
1,2023-05-10,Debit,Discretionary,108,bad
1,2023-05-12,Debit,UPI_Lending_App,161,bad
1,2023-05-16,Debit,UPI_Lending_App,436,bad
1,2023-05-24,Debit,UPI_Lending_App,462,bad
1,2023-05-27,Debit,UPI_Lending_App,215,bad
1,2023-05-31,Credit,Salary,1991,bad
1,2023-06-01,Debit,UPI_Lending_App,141,bad
1,2023-06-02,Debit,UPI_Lending_App,399,bad
1,2023-06-13,Debit,Discretionary,128,bad
1,2023-06-23,Debit,UPI_Lending_App,498,bad
1,2023-06-25,Debit,UPI_Lending_App,386,bad
1,2023-06-28,Debit,UPI_Lending_App,76,bad
2,2023-01-01,Credit,Salary,1904,good
2,2023-01-21,Debit,Discretionary,526,good
2,2023-01-31,Credit,Salary,1859,good
2,2023-02-07,Debit,Discretionary,478,good
2,2023-02-14,Debit,UPI_Lending_App,443,good
2,2023-03-02,Credit,Salary,2120,good
2,2023-03-19,Debit,Discretionary,518,good
2,2023-04-01,Credit,Salary,1850,good
2,2023-04-22,Debit,Discretionary,517,good
2,2023-05-01,Credit,Salary,1924,good
2,2023-05-18,Debit,Discretionary,528,good
2,2023-05-31,Credit,Salary,1970,good
2,2023-06-08,Debit,Discretionary,467,good
3,2023-01-01,Credit,Salary,2130,good
3,2023-01-10,Debit,Discretionary,474,good
3,2023-01-31,Credit,Salary,2099,good
3,2023-02-23,Debit,Discretionary,546,good
3,2023-03-02,Credit,Salary,2023,good
3,2023-03-21,Debit,Discretionary,498,good
3,2023-04-01,Credit,Salary,2107,good
3,2023-04-06,Debit,Discretionary,531,good
3,2023-05-01,Credit,Salary,1864,good
3,2023-05-11,Debit,Discretionary,507,good
3,2023-05-31,Credit,Salary,1818,good
3,2023-06-23,Debit,Discretionary,532,good
4,2023-01-01,Credit,Salary,1973,bad
4,2023-01-12,Debit,UPI_Lending_App,483,bad
4,2023-01-20,Debit,Discretionary,524,bad
4,2023-01-24,Debit,UPI_Lending_App,137,bad
4,2023-01-27,Debit,UPI_Lending_App,126,bad
4,2023-01-29,Debit,UPI_Lending_App,282,bad
4,2023-01-31,Credit,Salary,1933,bad
4,2023-02-04,Debit,UPI_Lending_App,187,bad
4,2023-02-11,Debit,Discretionary,515,bad
4,2023-02-28,Debit,UPI_Lending_App,315,bad
4,2023-03-02,Credit,Salary,1980,bad
4,2023-03-10,Debit,UPI_Lending_App,493,bad
4,2023-03-16,Debit,Discretionary,516,bad
4,2023-04-01,Credit,Salary,1943,bad
4,2023-04-15,Debit,Discretionary,531,bad
4,2023-04-20,Debit,UPI_Lending_App,476,bad
4,2023-05-06,Credit,Salary,1868,bad
4,2023-05-15,Debit,UPI_Lending_App,149,bad
4,2023-05-15,Debit,Discretionary,76,bad
4,2023-05-31,Credit,Salary,2154,bad
4,2023-06-05,Debit,UPI_Lending_App,434,bad
4,2023-06-11,Debit,UPI_Lending_App,295,bad
4,2023-06-22,Debit,Discretionary,98,bad
5,2023-01-01,Credit,Salary,1967,good
5,2023-01-23,Debit,Discretionary,454,good
5,2023-01-31,Credit,Salary,2098,good
5,2023-02-24,Debit,Discretionary,512,good
5,2023-03-02,Credit,Salary,2113,good
5,2023-03-27,Debit,Discretionary,539,good
5,2023-04-01,Credit,Salary,2076,good
5,2023-04-22,Debit,Discretionary,545,good
5,2023-05-01,Credit,Salary,1808,good
5,2023-05-08,Debit,Discretionary,502,good
5,2023-05-31,Credit,Salary,1935,good
5,2023-06-17,Debit,Discretionary,496,good
6,2023-01-01,Credit,Salary,2028,good
6,2023-01-26,Debit,Discretionary,473,good
6,2023-01-31,Credit,Salary,2028,good
6,2023-02-21,Debit,Discretionary,526,good
6,2023-03-02,Credit,Salary,2181,good
6,2023-03-07,Debit,Discretionary,457,good
6,2023-04-01,Credit,Salary,2021,good
6,2023-04-06,Debit,UPI_Lending_App,308,good
6,2023-04-25,Debit,Discretionary,496,good
6,2023-05-01,Credit,Salary,2078,good
6,2023-05-08,Debit,Discretionary,482,good
6,2023-05-31,Credit,Salary,1969,good
6,2023-06-13,Debit,Discretionary,497,good
6,2023-06-20,Debit,UPI_Lending_App,300,good
7,2023-01-01,Credit,Salary,1894,good
7,2023-01-24,Debit,Discretionary,486,good
7,2023-01-31,Credit,Salary,2122,good
7,2023-02-10,Debit,Discretionary,535,good
7,2023-03-02,Credit,Salary,1999,good
7,2023-03-16,Debit,Discretionary,548,good
7,2023-03-26,Debit,UPI_Lending_App,78,good
7,2023-04-01,Credit,Salary,1946,good
7,2023-04-11,Debit,Discretionary,506,good
7,2023-05-01,Credit,Salary,2098,good
7,2023-05-13,Debit,Discretionary,493,good
7,2023-05-31,Credit,Salary,2123,good
7,2023-06-17,Debit,Discretionary,539,good
8,2023-01-01,Credit,Salary,2084,good
8,2023-01-07,Debit,Discretionary,511,good
8,2023-01-31,Credit,Salary,1884,good
8,2023-02-25,Debit,Discretionary,550,good
8,2023-03-02,Credit,Salary,2033,good
8,2023-03-16,Debit,Discretionary,463,good
8,2023-04-01,Credit,Salary,1946,good
8,2023-04-26,Debit,Discretionary,548,good
8,2023-05-01,Credit,Salary,2181,good
8,2023-05-18,Debit,Discretionary,455,good
8,2023-05-31,Credit,Salary,2058,good
8,2023-06-23,Debit,Discretionary,459,good
9,2023-01-01,Credit,Salary,1953,bad
9,2023-01-04,Debit,UPI_Lending_App,375,bad
9,2023-01-08,Debit,UPI_Lending_App,475,bad
9,2023-01-10,Debit,UPI_Lending_App,281,bad
9,2023-01-16,Debit,UPI_Lending_App,443,bad
9,2023-01-23,Debit,Discretionary,544,bad
9,2023-01-24,Debit,UPI_Lending_App,98,bad
9,2023-01-31,Credit,Salary,1898,bad
9,2023-02-04,Debit,UPI_Lending_App,238,bad
9,2023-02-19,Debit,Discretionary,494,bad
9,2023-03-02,Credit,Salary,1925,bad
9,2023-03-14,Debit,Discretionary,550,bad
9,2023-03-26,Debit,UPI_Lending_App,96,bad
9,2023-04-01,Credit,Salary,1855,bad
9,2023-04-02,Debit,UPI_Lending_App,354,bad
9,2023-04-08,Debit,Discretionary,455,bad
9,2023-04-23,Debit,UPI_Lending_App,409,bad
9,2023-05-04,Debit,UPI_Lending_App,96,bad
9,2023-05-05,Credit,Salary,1918,bad
9,2023-05-08,Debit,UPI_Lending_App,125,bad
9,2023-05-23,Debit,Discretionary,126,bad
9,2023-05-25,Debit,UPI_Lending_App,411,bad
9,2023-06-06,Debit,Discretionary,143,bad
9,2023-06-07,Credit,Salary,2190,bad
9,2023-06-07,Debit,UPI_Lending_App,336,bad
9,2023-06-10,Debit,UPI_Lending_App,298,bad
9,2023-06-20,Debit,UPI_Lending_App,265,bad
9,2023-06-25,Debit,UPI_Lending_App,186,bad
10,2023-01-01,Credit,Salary,2002,bad
10,2023-01-03,Debit,UPI_Lending_App,470,bad
10,2023-01-08,Debit,UPI_Lending_App,383,bad
10,2023-01-13,Debit,Discretionary,470,bad
10,2023-01-21,Debit,UPI_Lending_App,238,bad
10,2023-01-31,Credit,Salary,1987,bad
10,2023-02-11,Debit,UPI_Lending_App,335,bad
10,2023-02-18,Debit,Discretionary,460,bad
10,2023-02-23,Debit,UPI_Lending_App,99,bad
10,2023-02-26,Debit,UPI_Lending_App,316,bad
10,2023-02-26,Debit,UPI_Lending_App,492,bad
10,2023-03-02,Credit,Salary,1912,bad
10,2023-03-05,Debit,UPI_Lending_App,479,bad
10,2023-03-13,Debit,Discretionary,487,bad
10,2023-03-19,Debit,UPI_Lending_App,145,bad
10,2023-04-01,Credit,Salary,2095,bad
10,2023-04-09,Debit,UPI_Lending_App,343,bad
10,2023-04-10,Debit,UPI_Lending_App,401,bad
10,2023-04-12,Debit,UPI_Lending_App,210,bad
10,2023-04-15,Debit,UPI_Lending_App,380,bad
10,2023-04-22,Debit,Discretionary,529,bad
10,2023-04-23,Debit,UPI_Lending_App,215,bad
10,2023-05-01,Credit,Salary,1955,bad
10,2023-05-06,Debit,UPI_Lending_App,214,bad
10,2023-05-20,Debit,UPI_Lending_App,403,bad
10,2023-05-20,Debit,Discretionary,139,bad
10,2023-05-23,Debit,UPI_Lending_App,500,bad
10,2023-05-28,Debit,UPI_Lending_App,77,bad
10,2023-05-31,Credit,Salary,1814,bad
10,2023-06-05,Debit,Discretionary,95,bad
10,2023-06-10,Debit,UPI_Lending_App,421,bad
10,2023-06-15,Debit,UPI_Lending_App,277,bad
10,2023-06-26,Debit,UPI_Lending_App,436,bad
10,2023-06-28,Debit,UPI_Lending_App,434,bad
11,2023-01-01,Credit,Salary,2043,bad
11,2023-01-06,Debit,UPI_Lending_App,475,bad
11,2023-01-13,Debit,UPI_Lending_App,363,bad
11,2023-01-21,Debit,Discretionary,528,bad
11,2023-01-31,Credit,Salary,2109,bad
11,2023-02-02,Debit,UPI_Lending_App,54,bad
11,2023-02-24,Debit,Discretionary,488,bad
11,2023-03-02,Credit,Salary,2079,bad
11,2023-03-07,Debit,Discretionary,548,bad
11,2023-03-26,Debit,UPI_Lending_App,434,bad
11,2023-03-27,Debit,UPI_Lending_App,303,bad
11,2023-03-29,Debit,UPI_Lending_App,496,bad
11,2023-03-30,Debit,UPI_Lending_App,50,bad
11,2023-04-01,Credit,Salary,2091,bad
11,2023-04-11,Debit,Discretionary,457,bad
11,2023-04-12,Debit,UPI_Lending_App,461,bad
11,2023-04-18,Debit,UPI_Lending_App,187,bad
11,2023-04-20,Debit,UPI_Lending_App,273,bad
11,2023-05-04,Credit,Salary,2017,bad
11,2023-05-05,Debit,UPI_Lending_App,419,bad
11,2023-05-10,Debit,UPI_Lending_App,158,bad
11,2023-05-16,Debit,UPI_Lending_App,131,bad
11,2023-05-18,Debit,Discretionary,72,bad
11,2023-05-27,Debit,UPI_Lending_App,327,bad
11,2023-06-03,Credit,Salary,1810,bad
11,2023-06-04,Debit,UPI_Lending_App,422,bad
11,2023-06-24,Debit,Discretionary,86,bad
11,2023-06-26,Debit,UPI_Lending_App,461,bad
11,2023-06-28,Debit,UPI_Lending_App,222,bad
12,2023-01-01,Credit,Salary,2051,good
12,2023-01-09,Debit,Discretionary,472,good
12,2023-01-31,Credit,Salary,1958,good
12,2023-02-18,Debit,Discretionary,503,good
